method,metric,mean,std,bootstrap_ci_low,bootstrap_ci_high,n,average_bit_width,total_bit_budget,predicted_gronwall_objective_p2
unquantized_reference,masked_cross_entropy,3.6217286640597925,0.12198251317073854,3.5902596082802742,3.6524551039549613,40,16.0,128,0.0
unquantized_reference,masked_token_accuracy,0.2,0.057612429916630285,0.18143145161290322,0.22096774193548385,40,16.0,128,0.0
unquantized_reference,sequence_reconstruction_accuracy,0.0,0.0,0.0,0.0,40,16.0,128,0.0
unquantized_reference,reference_token_agreement,1.0,0.0,1.0,1.0,40,16.0,128,0.0
unquantized_reference,kl_divergence_from_reference,0.0,0.0,0.0,0.0,40,16.0,128,0.0
unquantized_reference,final_logit_mse,0.0,0.0,0.0,0.0,40,16.0,128,0.0
uniform_8bit,masked_cross_entropy,3.6217550446910245,0.12196671084977397,3.586034080770707,3.661523499681104,40,8.0,64,3.115592119133041e-05
uniform_8bit,masked_token_accuracy,0.2,0.057612429916630285,0.18221774193548387,0.2137298387096774,40,8.0,64,3.115592119133041e-05
uniform_8bit,sequence_reconstruction_accuracy,0.0,0.0,0.0,0.0,40,8.0,64,3.115592119133041e-05
uniform_8bit,reference_token_agreement,1.0,0.0,1.0,1.0,40,8.0,64,3.115592119133041e-05
uniform_8bit,kl_divergence_from_reference,1.1050668094427354e-06,4.755884514488089e-08,1.0927513170416557e-06,1.1197137064300475e-06,40,8.0,64,3.115592119133041e-05
uniform_8bit,final_logit_mse,2.3852964479755755e-06,5.4927300292393764e-08,2.367613840168624e-06,2.402667061069737e-06,40,8.0,64,3.115592119133041e-05
uniform_6bit,masked_cross_entropy,3.6218807005113165,0.12203791209464791,3.594664468496076,3.6645118304414135,40,6.0,48,0.0004984947390612866
uniform_6bit,masked_token_accuracy,0.2,0.057612429916630285,0.18225806451612905,0.2169354838709677,40,6.0,48,0.0004984947390612866
uniform_6bit,sequence_reconstruction_accuracy,0.0,0.0,0.0,0.0,40,6.0,48,0.0004984947390612866
uniform_6bit,reference_token_agreement,1.0,0.0,1.0,1.0,40,6.0,48,0.0004984947390612866
uniform_6bit,kl_divergence_from_reference,1.8730333390375296e-05,7.518315834085862e-07,1.8524587043606106e-05,1.8933606737728923e-05,40,6.0,48,0.0004984947390612866
uniform_6bit,final_logit_mse,4.0369563054898e-05,8.855488576704934e-07,4.0055699869445826e-05,4.068306391453065e-05,40,6.0,48,0.0004984947390612866
uniform_4bit,masked_cross_entropy,3.6299390546737187,0.12206651597266176,3.5887130881701745,3.6664636702499083,40,4.0,32,0.007975915824980586
uniform_4bit,masked_token_accuracy,0.2,0.057612429916630285,0.1838508064516129,0.2201612903225806,40,4.0,32,0.007975915824980586
uniform_4bit,sequence_reconstruction_accuracy,0.0,0.0,0.0,0.0,40,4.0,32,0.007975915824980586
uniform_4bit,reference_token_agreement,1.0,0.0,1.0,1.0,40,4.0,32,0.007975915824980586
uniform_4bit,kl_divergence_from_reference,0.0004209359567011556,1.512347955441338e-05,0.00041641738359636114,0.00042590695667088095,40,4.0,32,0.007975915824980586
uniform_4bit,final_logit_mse,0.000874985163024957,2.1026845899563603e-05,0.0008686304179859543,0.0008809698513951226,40,4.0,32,0.007975915824980586
low_to_high_linear_budget6,masked_cross_entropy,3.624466056208457,0.12206475723235122,3.5916943787567077,3.6602426745045573,40,6.0,48,4.052013088506139e-05
low_to_high_linear_budget6,masked_token_accuracy,0.2,0.057612429916630285,0.18223790322580644,0.2161693548387097,40,6.0,48,4.052013088506139e-05
low_to_high_linear_budget6,sequence_reconstruction_accuracy,0.0,0.0,0.0,0.0,40,6.0,48,4.052013088506139e-05
low_to_high_linear_budget6,reference_token_agreement,1.0,0.0,1.0,1.0,40,6.0,48,4.052013088506139e-05
