method,step,bits,total_bit_budget,average_bit_width,predicted_gronwall_objective_p2,predicted_gronwall_objective_fitted_p
unquantized_reference,1,16,128,16.0,0.0,0.0
unquantized_reference,2,16,128,16.0,0.0,0.0
unquantized_reference,3,16,128,16.0,0.0,0.0
unquantized_reference,4,16,128,16.0,0.0,0.0
unquantized_reference,5,16,128,16.0,0.0,0.0
unquantized_reference,6,16,128,16.0,0.0,0.0
unquantized_reference,7,16,128,16.0,0.0,0.0
unquantized_reference,8,16,128,16.0,0.0,0.0
uniform_8bit,1,8,64,8.0,3.115592119133041e-05,2.4825904980718002e-05
uniform_8bit,2,8,64,8.0,3.115592119133041e-05,2.4825904980718002e-05
uniform_8bit,3,8,64,8.0,3.115592119133041e-05,2.4825904980718002e-05
uniform_8bit,4,8,64,8.0,3.115592119133041e-05,2.4825904980718002e-05
uniform_8bit,5,8,64,8.0,3.115592119133041e-05,2.4825904980718002e-05
uniform_8bit,6,8,64,8.0,3.115592119133041e-05,2.4825904980718002e-05
uniform_8bit,7,8,64,8.0,3.115592119133041e-05,2.4825904980718002e-05
uniform_8bit,8,8,64,8.0,3.115592119133041e-05,2.4825904980718002e-05
uniform_6bit,1,6,48,6.0,0.0004984947390612866,0.0004929577214103228
uniform_6bit,2,6,48,6.0,0.0004984947390612866,0.0004929577214103228
uniform_6bit,3,6,48,6.0,0.0004984947390612866,0.0004929577214103228
uniform_6bit,4,6,48,6.0,0.0004984947390612866,0.0004929577214103228
uniform_6bit,5,6,48,6.0,0.0004984947390612866,0.0004929577214103228
uniform_6bit,6,6,48,6.0,0.0004984947390612866,0.0004929577214103228
uniform_6bit,7,6,48,6.0,0.0004984947390612866,0.0004929577214103228
uniform_6bit,8,6,48,6.0,0.0004984947390612866,0.0004929577214103228
uniform_4bit,1,4,32,4.0,0.007975915824980586,0.009788522180870413
uniform_4bit,2,4,32,4.0,0.007975915824980586,0.009788522180870413
uniform_4bit,3,4,32,4.0,0.007975915824980586,0.009788522180870413
uniform_4bit,4,4,32,4.0,0.007975915824980586,0.009788522180870413
uniform_4bit,5,4,32,4.0,0.007975915824980586,0.009788522180870413
uniform_4bit,6,4,32,4.0,0.007975915824980586,0.009788522180870413
uniform_4bit,7,4,32,4.0,0.007975915824980586,0.009788522180870413
uniform_4bit,8,4,32,4.0,0.007975915824980586,0.009788522180870413
low_to_high_linear_budget6,1,4,48,6.0,4.052013088506139e-05,3.431640757774902e-05
low_to_high_linear_budget6,2,4,48,6.0,4.052013088506139e-05,3.431640757774902e-05
low_to_high_linear_budget6,3,6,48,6.0,4.052013088506139e-05,3.431640757774902e-05
low_to_high_linear_budget6,4,6,48,6.0,4.052013088506139e-05,3.431640757774902e-05
low_to_high_linear_budget6,5,6,48,6.0,4.052013088506139e-05,3.431640757774902e-05
low_to_high_linear_budget6,6,6,48,6.0,4.052013088506139e-05,3.431640757774902e-05
low_to_high_linear_budget6,7,8,48,6.0,4.052013088506139e-05,3.431640757774902e-05
low_to_high_linear_budget6,8,8,48,6.0,4.052013088506139e-05,3.431640757774902e-05
high_to_low_linear_budget6,1,8,48,6.0,0.007826210528758211,0.009597272377936632
high_to_low_linear_budget6,2,8,48,6.0,0.007826210528758211,0.009597272377936632
high_to_low_linear_budget6,3,6,48,6.0,0.007826210528758211,0.009597272377936632
high_to_low_linear_budget6,4,6,48,6.0,0.007826210528758211,0.009597272377936632
high_to_low_linear_budget6,5,6,48,6.0,0.007826210528758211,0.009597272377936632
high_to_low_linear_budget6,6,6,48,6.0,0.007826210528758211,0.009597272377936632
high_to_low_linear_budget6,7,4,48,6.0,0.007826210528758211,0.009597272377936632
high_to_low_linear_budget6,8,4,48,6.0,0.007826210528758211,0.009597272377936632
local_error_only_budget6,1,6,48,6.0,0.0004984947390612866,0.0004929577214103228
local_error_only_budget6,2,6,48,6.0,0.0004984947390612866,0.0004929577214103228
local_error_only_budget6,3,6,48,6.0,0.0004984947390612866,0.0004929577214103228
local_error_only_budget6,4,6,48,6.0,0.0004984947390612866,0.0004929577214103228
local_error_only_budget6,5,6,48,6.0,0.0004984947390612866,0.0004929577214103228
local_error_only_budget6,6,6,48,6.0,0.0004984947390612866,0.0004929577214103228
local_error_only_budget6,7,6,48,6.0,0.0004984947390612866,0.0004929577214103228
local_error_only_budget6,8,6,48,6.0,0.0004984947390612866,0.0004929577214103228
gronwall_weighted_budget6,1,4,48,6.0,3.222031831634025e-05,2.5905714463408158e-05
gronwall_weighted_budget6,2,4,48,6.0,3.222031831634025e-05,2.5905714463408158e-05
gronwall_weighted_budget6,3,4,48,6.0,3.222031831634025e-05,2.5905714463408158e-05
gronwall_weighted_budget6,4,6,48,6.0,3.222031831634025e-05,2.5905714463408158e-05
gronwall_weighted_budget6,5,6,48,6.0,3.222031831634025e-05,2.5905714463408158e-05
gronwall_weighted_budget6,6,8,48,6.0,3.222031831634025e-05,2.5905714463408158e-05
gronwall_weighted_budget6,7,8,48,6.0,3.222031831634025e-05,2.5905714463408158e-05
gronwall_weighted_budget6,8,8,48,6.0,3.222031831634025e-05,2.5905714463408158e-05
empirical_oracle_budget6,1,4,48,6.0,7.695854495909013e-05,7.103795484180621e-05
empirical_oracle_budget6,2,6,48,6.0,7.695854495909013e-05,7.103795484180621e-05
empirical_oracle_budget6,3,4,48,6.0,7.695854495909013e-05,7.103795484180621e-05
empirical_oracle_budget6,4,6,48,6.0,7.695854495909013e-05,7.103795484180621e-05
empirical_oracle_budget6,5,6,48,6.0,7.695854495909013e-05,7.103795484180621e-05
empirical_oracle_budget6,6,8,48,6.0,7.695854495909013e-05,7.103795484180621e-05
empirical_oracle_budget6,7,6,48,6.0,7.695854495909013e-05,7.103795484180621e-05
empirical_oracle_budget6,8,8,48,6.0,7.695854495909013e-05,7.103795484180621e-05
