batch,step,amplification
0,1,254.6065378564622
0,2,284.02986689319147
0,3,389.6484125794927
0,4,315.46844575977605
0,5,296.43109498375077
0,6,385.4672985531987
0,7,291.4018121454605
0,8,419.02754347241586
0,9,306.6495942403526
0,10,249.01577916468142
0,11,289.29967157009366
0,12,413.98514931741295
1,1,256.12843518952843
1,2,279.6193856045649
1,3,288.50504968512723
1,4,291.5211588778884
1,5,267.12930352949843
1,6,262.1020837319478
1,7,244.7590250854527
1,8,244.9272161029657
1,9,274.54833685819375
1,10,263.71786931790405
1,11,282.23267645843714
1,12,334.0456468570762
2,1,245.57949107865377
2,2,308.5496607301308
2,3,263.11940731874853
2,4,305.1419577826249
2,5,320.56372658136667
2,6,364.2641417883893
2,7,289.1753691098991
2,8,248.91318896773956
2,9,325.30264456018773
2,10,284.4057137179298
2,11,268.9049294954021
2,12,429.4204222919855
3,1,301.9289534650266
3,2,384.5735200192267
3,3,336.08058668774873
3,4,337.1106585617046
3,5,311.4162190626885
3,6,297.7663880732489
3,7,254.46189183517137
3,8,262.47798807061406
3,9,289.01142347955806
3,10,345.5497798852286
3,11,284.0258796688621
3,12,433.66217978823096
4,1,277.2673913293095
4,2,342.37723934674625
4,3,365.56485003457215
4,4,376.1366543077705
4,5,391.7546274516848
4,6,353.09681059534046
4,7,305.2102644651137
4,8,262.3423649568052
4,9,238.73874031601522
4,10,285.4851455657477
4,11,251.9265701344256
4,12,473.9641456724025
5,1,236.6976745931007
5,2,279.4875743710788
5,3,311.9084584485407
5,4,279.44866521988797
5,5,280.67812463122834
5,6,281.44012103554144
5,7,262.63980534996557
5,8,260.5069022682113
5,9,308.7484458442577
5,10,236.99931901591773
5,11,269.40123559388974
5,12,394.2334295199665
6,1,370.12926146537313
6,2,402.20865150016033
6,3,378.007405559786
6,4,369.4139056024293
6,5,384.9903594720157
6,6,366.4804689991341
6,7,349.67367625603777
6,8,354.14724399261763
6,9,340.34891578011786
6,10,321.3649766174649
6,11,306.9735198373278
6,12,451.77597419945715
7,1,311.6577972773376
7,2,387.15709586550577
7,3,339.91646201143374
7,4,331.40636598544376
7,5,299.22651758837503
7,6,333.17266868680576
7,7,315.7518229968692
7,8,273.1198044404487
7,9,282.620691709376
7,10,348.4468810815346
7,11,316.94614996156247
7,12,444.9055210187613
