step,L_mean,L_median,L_p95,num_estimates
1,281.749442781849,266.69791325941895,349.66424899956064,8
2,333.5003742913256,325.4634500384385,396.94060702803125,8
3,334.09382904068127,337.9985243495912,385.5740601225953,8
4,325.70597651219066,323.43740587260993,373.7836922609011,8
5,319.02374666257606,305.3213683255318,389.3871336588006,8
6,330.47374768295083,343.1347396410731,378.82190820927605,8
7,289.1342084054962,290.2885906276798,337.80102761532874,8
8,290.6827815339773,262.41017651370964,396.3194386544864,8
9,295.7460990985074,297.83050885995533,335.0827208531423,8
10,291.8731830458011,284.94542964183876,347.4328956628275,8
11,283.7138290900001,283.1292780636496,313.45572941808035,8
12,421.9990585831616,431.54130104010824,466.1982856568716,8
