method,seed,sample_index,masked_cross_entropy,masked_token_accuracy,sequence_reconstruction_accuracy,reference_token_agreement,kl_divergence_from_reference,final_logit_mse,predicted_gronwall_objective_p2,average_bit_width,total_bit_budget,theoretical_activation_memory_ratio,wall_clock_latency_seconds_per_sample,peak_memory_bytes_reference_only,actual_reference_dtype
unquantized_reference,11,0,0.9331631828700343,0.7741935483870968,0.0,1.0,8.186625857507029e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,1,0.5513359679269695,0.8709677419354839,0.0,1.0,-6.759599331886538e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,2,1.6346841612229905,0.6129032258064516,0.0,1.0,-2.1555611202793736e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,3,2.80963893090525,0.1935483870967742,0.0,1.0,-9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,4,3.108454427411479,0.12903225806451613,0.0,1.0,0.0,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,5,0.7024715557213752,0.7419354838709677,0.0,1.0,-2.3733704320846065e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,6,0.3824409265672007,0.9354838709677419,0.0,1.0,-3.1544796882137173e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,7,2.8506408506824124,0.1935483870967742,0.0,1.0,-4.80682619156376e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,8,1.6412803199022048,0.6129032258064516,0.0,1.0,-2.1931144499009657e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,9,2.613559561871713,0.1935483870967742,0.0,1.0,-1.742474494441863e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,10,1.2576583825923022,0.6451612903225806,0.0,1.0,1.4270265256204912e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,11,1.501136876868024,0.6451612903225806,0.0,1.0,-1.6335698385392467e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,12,0.3776968225175815,0.8709677419354839,0.0,1.0,1.6072825078041323e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,13,1.031525838278955,0.7741935483870968,0.0,1.0,2.861563717165301e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
