method,metric,mean,std,bootstrap_ci_low,bootstrap_ci_high,n,average_bit_width,total_bit_budget,predicted_gronwall_objective_p2
unquantized_reference,masked_cross_entropy,1.7540330435261797,0.9599576310130066,1.687985418405849,1.8224019958471047,640,16.0,192,0.0
unquantized_reference,masked_token_accuracy,0.5360383064516129,0.26285748887435884,0.5161756552419355,0.5573613911290323,640,16.0,192,0.0
unquantized_reference,sequence_reconstruction_accuracy,0.065625,0.24781912607550347,0.0484375,0.084375,640,16.0,192,0.0
unquantized_reference,reference_token_agreement,1.0,0.0,1.0,1.0,640,16.0,192,0.0
unquantized_reference,kl_divergence_from_reference,-2.784755422673639e-10,2.296254629090669e-09,-4.5243121994351366e-10,-8.928890888308806e-11,640,16.0,192,0.0
unquantized_reference,final_logit_mse,0.0,0.0,0.0,0.0,640,16.0,192,0.0
uniform_8bit,masked_cross_entropy,1.7540726079808777,0.9598844149673683,1.681003562995005,1.8255698077093634,640,8.0,96,3.3806954047793328e+22
uniform_8bit,masked_token_accuracy,0.5362903225806451,0.26262441210273074,0.516328125,0.559124243951613,640,8.0,96,3.3806954047793328e+22
uniform_8bit,sequence_reconstruction_accuracy,0.065625,0.24781912607550347,0.046875,0.0859375,640,8.0,96,3.3806954047793328e+22
uniform_8bit,reference_token_agreement,0.9979334677419356,0.00790502467059337,0.9972782258064516,0.9985383064516128,640,8.0,96,3.3806954047793328e+22
uniform_8bit,kl_divergence_from_reference,7.201256092566341e-05,4.9769187369169995e-05,6.812837285539551e-05,7.554606266825571e-05,640,8.0,96,3.3806954047793328e+22
uniform_8bit,final_logit_mse,0.00020648867428090602,0.00012360627908128552,0.00019697387724319803,0.00021574267596943374,640,8.0,96,3.3806954047793328e+22
uniform_6bit,masked_cross_entropy,1.7538999516648595,0.9585807901660178,1.6769054638780019,1.831519494952983,640,6.0,72,5.4091126476469324e+23
uniform_6bit,masked_token_accuracy,0.5357862903225806,0.2624580062510557,0.515718245967742,0.556906502016129,640,6.0,72,5.4091126476469324e+23
uniform_6bit,sequence_reconstruction_accuracy,0.065625,0.24781912607550347,0.046875,0.0859375,640,6.0,72,5.4091126476469324e+23
uniform_6bit,reference_token_agreement,0.9873991935483872,0.02144257641132298,0.9857358870967744,0.9889112903225806,640,6.0,72,5.4091126476469324e+23
uniform_6bit,kl_divergence_from_reference,0.001317031938060242,0.0012006860140703058,0.00123084424812921,0.0014183355740153693,640,6.0,72,5.4091126476469324e+23
uniform_6bit,final_logit_mse,0.003568330902028045,0.001978899705308067,0.003425953617676324,0.003732999364182756,640,6.0,72,5.4091126476469324e+23
uniform_4bit,masked_cross_entropy,1.7785468834524623,0.9456331653710958,1.7071445409973125,1.8517578862977038,640,4.0,48,8.654580236235092e+24
uniform_4bit,masked_token_accuracy,0.5296370967741935,0.2623383265415578,0.5109362399193549,0.5505556955645161,640,4.0,48,8.654580236235092e+24
uniform_4bit,sequence_reconstruction_accuracy,0.0640625,0.24505576478839472,0.0453125,0.084375,640,4.0,48,8.654580236235092e+24
uniform_4bit,reference_token_agreement,0.9102318548387096,0.06884856236817896,0.9049873991935484,0.9154246471774193,640,4.0,48,8.654580236235092e+24
uniform_4bit,kl_divergence_from_reference,0.03363005992518846,0.02441347448344648,0.031711378276857785,0.03547400002735341,640,4.0,48,8.654580236235092e+24
uniform_4bit,final_logit_mse,0.10394052309092068,0.04099329845403811,0.10082888007719086,0.10723503855038048,640,4.0,48,8.654580236235092e+24
low_to_high_linear_budget6,masked_cross_entropy,1.7564479996214128,0.954480037870315,1.6837352871272935,1.827169046301142,640,6.0,72,8.654573097053887e+24
low_to_high_linear_budget6,masked_token_accuracy,0.5359375,0.2621020213674209,0.5160786290322581,0.5574609374999999,640,6.0,72,8.654573097053887e+24
low_to_high_linear_budget6,sequence_reconstruction_accuracy,0.0640625,0.24505576478839472,0.0453125,0.0828125,640,6.0,72,8.654573097053887e+24
low_to_high_linear_budget6,reference_token_agreement,0.9533266129032258,0.039336341154066375,0.9503011592741935,0.9561995967741936,640,6.0,72,8.654573097053887e+24
low_to_high_linear_budget6,kl_divergence_from_reference,0.007020120781905394,0.0043478560211092435,0.006720549519310832,0.00736278247002963,640,6.0,72,8.654573097053887e+24
low_to_high_linear_budget6,final_logit_mse,0.01805023984681736,0.012470823506337787,0.0171963194762857,0.019087308824329997,640,6.0,72,8.654573097053887e+24
high_to_low_linear_budget6,masked_cross_entropy,1.7604059435960449,0.959448329290664,1.6828438759614472,1.8358465588025346,640,6.0,72,3.380740024661848e+22
high_to_low_linear_budget6,masked_token_accuracy,0.5351814516129032,0.2630542145293566,0.5128503024193549,0.5551915322580644,640,6.0,72,3.380740024661848e+22
high_to_low_linear_budget6,sequence_reconstruction_accuracy,0.065625,0.24781912607550347,0.046875,0.084375,640,6.0,72,3.380740024661848e+22
high_to_low_linear_budget6,reference_token_agreement,0.989516129032258,0.020433694098408128,0.9880040322580644,0.991179435483871,640,6.0,72,3.380740024661848e+22
high_to_low_linear_budget6,kl_divergence_from_reference,0.00655492101392296,0.007186239871215172,0.006034687896877217,0.007075304888674094,640,6.0,72,3.380740024661848e+22
high_to_low_linear_budget6,final_logit_mse,0.03227706663238346,0.01755458525577412,0.031008869790044996,0.033610937970895254,640,6.0,72,3.380740024661848e+22
local_error_only_budget6,masked_cross_entropy,1.7538999516648595,0.9585807901660178,1.6809077146344238,1.8250961125155194,640,6.0,72,5.4091126476469324e+23
local_error_only_budget6,masked_token_accuracy,0.5357862903225806,0.2624580062510557,0.5160231854838709,0.5555456149193547,640,6.0,72,5.4091126476469324e+23
local_error_only_budget6,sequence_reconstruction_accuracy,0.065625,0.24781912607550347,0.0468359375,0.0859375,640,6.0,72,5.4091126476469324e+23
local_error_only_budget6,reference_token_agreement,0.9873991935483872,0.02144257641132298,0.9856854838709678,0.9890133568548387,640,6.0,72,5.4091126476469324e+23
local_error_only_budget6,kl_divergence_from_reference,0.001317031938060242,0.0012006860140703058,0.0012324506423599263,0.0014088615811317022,640,6.0,72,5.4091126476469324e+23
local_error_only_budget6,final_logit_mse,0.003568330902028045,0.001978899705308067,0.003413306322777316,0.003713196096313544,640,6.0,72,5.4091126476469324e+23
