batch,step,bits,activation_mse
0,1,3,0.25222879089415073
0,1,4,0.08151336014270782
0,1,6,0.004600765591021627
0,1,8,0.0002713060675887391
0,2,3,0.30533768236637115
0,2,4,0.099037179723382
0,2,6,0.005348783568479121
0,2,8,0.0003170628515363205
0,3,3,0.2989626117050648
0,3,4,0.10265923477709293
0,3,6,0.00536774389911443
0,3,8,0.0003188308655808214
0,4,3,0.299401480704546
0,4,4,0.09962132386863232
0,4,6,0.005218194157350808
0,4,8,0.00031754169685882516
0,5,3,0.2895725667476654
0,5,4,0.10032827034592628
0,5,6,0.005430998688098043
0,5,8,0.00032125390134751797
0,6,3,0.2841363102197647
0,6,4,0.09715097304433584
0,6,6,0.005166306742466986
0,6,8,0.00030242560751503333
0,7,3,0.2843601256608963
0,7,4,0.09063708037137985
0,7,6,0.005068475671578199
0,7,8,0.0002982267251354642
0,8,3,0.27713992446660995
0,8,4,0.09644959308207035
0,8,6,0.005094606545753777
0,8,8,0.00030052581496420316
0,9,3,0.2867028955370188
0,9,4,0.0886533223092556
0,9,6,0.004974808252882212
0,9,8,0.0002977491603814997
0,10,3,0.309318371117115
0,10,4,0.09001459181308746
0,10,6,0.004701983358245343
0,10,8,0.000278237035672646
0,11,3,0.3471781425178051
0,11,4,0.09225203469395638
0,11,6,0.004666461027227342
0,11,8,0.0002840881934389472
0,12,3,0.25780140049755573
0,12,4,0.08821054548025131
0,12,6,0.0049593159928917885
0,12,8,0.0002969775341625791
1,1,3,0.2545731794089079
1,1,4,0.07488253898918629
1,1,6,0.004511926439590752
1,1,8,0.00026036585404654033
1,2,3,0.3029843717813492
1,2,4,0.0959109477698803
1,2,6,0.005210574832744896
1,2,8,0.0003101642505498603
1,3,3,0.29345526173710823
1,3,4,0.09412339143455029
1,3,6,0.005215360666625202
1,3,8,0.0003061043935304042
1,4,3,0.2942510023713112
1,4,4,0.09215189330279827
1,4,6,0.005159869499038905
1,4,8,0.00030493689700961113
1,5,3,0.3042628727853298
1,5,4,0.10302049480378628
1,5,6,0.005187481001485139
1,5,8,0.0003115567233180627
1,6,3,0.26663716323673725
1,6,4,0.10376032534986734
1,6,6,0.005132075282745063
1,6,8,0.00030809298186795786
1,7,3,0.2773392368108034
1,7,4,0.0914872046560049
1,7,6,0.004919423605315387
1,7,8,0.00030025448359083384
1,8,3,0.27228623256087303
1,8,4,0.09121123515069485
1,8,6,0.004969332425389439
1,8,8,0.0002975244424305856
1,9,3,0.2756356727331877
1,9,4,0.09420984424650669
1,9,6,0.004944705753587186
1,9,8,0.0003052369829674717
1,10,3,0.3249133825302124
1,10,4,0.09211965464055538
1,10,6,0.004698039614595473
1,10,8,0.000277836385066621
1,11,3,0.3458302430808544
1,11,4,0.09156764298677444
1,11,6,0.004904855391941965
1,11,8,0.0002839301414496731
1,12,3,0.27089508809149265
1,12,4,0.09027840383350849
1,12,6,0.004990500397980213
1,12,8,0.0002975559764308855
2,1,3,0.24155628867447376
2,1,4,0.07724673580378294
2,1,6,0.004337113758083433
2,1,8,0.0002623305990709923
2,2,3,0.2877860851585865
2,2,4,0.09660282731056213
2,2,6,0.005472542252391577
2,2,8,0.0003237561431888025
2,3,3,0.28812631219625473
2,3,4,0.09979414194822311
2,3,6,0.005488667986355722
2,3,8,0.0003236172160541173
2,4,3,0.29026123136281967
2,4,4,0.1024638656526804
2,4,6,0.005605615093372762
2,4,8,0.0003306642720417585
2,5,3,0.2918822504580021
2,5,4,0.09419789910316467
2,5,6,0.005431787110865116
2,5,8,0.0003211849689250812
2,6,3,0.2822510376572609
2,6,4,0.09115072898566723
2,6,6,0.005073188804090023
2,6,8,0.0003053915388591122
2,7,3,0.2663336247205734
2,7,4,0.08545883372426033
2,7,6,0.005048909632023424
2,7,8,0.0003005034668603912
2,8,3,0.2680820804089308
2,8,4,0.08699409198015928
2,8,6,0.005209108698181808
2,8,8,0.00030443642390309833
2,9,3,0.27348470501601696
2,9,4,0.0945136109367013
2,9,6,0.005155237158760428
2,9,8,0.00030149454323691316
2,10,3,0.3121787831187248
2,10,4,0.0894800666719675
2,10,6,0.004937925026752055
2,10,8,0.0002888981871365104
2,11,3,0.3448999486863613
2,11,4,0.10745717026293278
2,11,6,0.005269771092571318
2,11,8,0.0003124236172880046
2,12,3,0.2593648377805948
2,12,4,0.09831034205853939
2,12,6,0.0049889920628629625
2,12,8,0.00029845415701856837
3,1,3,0.24983920715749264
3,1,4,0.08288041222840548
3,1,6,0.004566791991237551
3,1,8,0.00026877961863647215
3,2,3,0.3015916422009468
3,2,4,0.09819213673472404
3,2,6,0.005344811885152012
3,2,8,0.00031702172782388516
3,3,3,0.291498027741909
3,3,4,0.09929821081459522
3,3,6,0.005453553225379437
3,3,8,0.0003205619868822396
3,4,3,0.2915228419005871
3,4,4,0.10351951234042645
3,4,6,0.005411814199760556
3,4,8,0.00032140449911821634
3,5,3,0.2889470234513283
3,5,4,0.10184097476303577
3,5,6,0.005423007823992521
3,5,8,0.00032055888368631713
3,6,3,0.27263154089450836
3,6,4,0.09748896770179272
3,6,6,0.004988265631254762
3,6,8,0.0003034110814041924
3,7,3,0.283343356102705
3,7,4,0.09617160446941853
3,7,6,0.005024790822062641
3,7,8,0.0003002792400366161
3,8,3,0.2809328380972147
3,8,4,0.09734329581260681
3,8,6,0.005021736724302173
3,8,8,0.00029788786559947766
