method,step,bits,total_bit_budget,average_bit_width,predicted_gronwall_objective_p2,predicted_gronwall_objective_fitted_p
unquantized_reference,1,16,192,16.0,0.0,0.0
unquantized_reference,2,16,192,16.0,0.0,0.0
unquantized_reference,3,16,192,16.0,0.0,0.0
unquantized_reference,4,16,192,16.0,0.0,0.0
unquantized_reference,5,16,192,16.0,0.0,0.0
unquantized_reference,6,16,192,16.0,0.0,0.0
unquantized_reference,7,16,192,16.0,0.0,0.0
unquantized_reference,8,16,192,16.0,0.0,0.0
unquantized_reference,9,16,192,16.0,0.0,0.0
unquantized_reference,10,16,192,16.0,0.0,0.0
unquantized_reference,11,16,192,16.0,0.0,0.0
unquantized_reference,12,16,192,16.0,0.0,0.0
uniform_8bit,1,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,2,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,3,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,4,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,5,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,6,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,7,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,8,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,9,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,10,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,11,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_8bit,12,8,96,8.0,3.3806954047793328e+22,3.408141365849876e+22
uniform_6bit,1,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,2,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,3,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,4,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,5,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,6,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,7,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,8,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,9,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,10,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,11,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_6bit,12,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
uniform_4bit,1,4,48,4.0,8.654580236235092e+24,8.857860573597269e+24
uniform_4bit,2,4,48,4.0,8.654580236235092e+24,8.857860573597269e+24
uniform_4bit,3,4,48,4.0,8.654580236235092e+24,8.857860573597269e+24
